    1020.00000000 275J1102 275J2102 275J3102 275J6102 375J1102 375J2102 375J3102 375J6102
    1030.00000000 275J1103 275J2103 275J3103 275J6103 375J1103 375J2103 375J3103 375J6103
    1040.00000000 275J1104 275J2104 275J3104 275J6104 375J1104 375J2104 375J3104 375J6104
    1050.00000000 275J1105 275J2105 275J3105 275J6105 375J1105 375J2105 375J3105 375J6105
    1060.00000000 275J1106 275J2106 275J3106 275J6106 375J1106 375J2106 375J3106 375J6106
    1070.00000000 275J1107 275J2107 275J3107 275J6107 375J1107 375J2107 375J3107 375J6107
    1080.00000000 275J1108 275J2108 275J3108 275J6108 375J1108 375J2108 375J3108 375J6108
    1090.00000000 275J1109 275J2109 275J3109 275J6109 375J1109 375J2109 375J3109 375J6109
    1100.00000000 275J1110 275J3110 375J1110 375J3110
    1110.00000000 275J3111 375J3111
