00남영비비안        002070NAMYEU 1006 10    
00경농              002100KNCO   1008 10    
00고려산업          002140KICO   1005 10    
00도화엔지니어링    002150                  
00삼양통상          002170SYT    1001 10    
00수출포장          002200KEPP   1007 10    
00동성제약          002210DSUP   1009 10    
00한일철강          002220HIS    1011 10    
00고려제강          002240KISW   1011 10    
00근화제약          002250KWP    1009 10    
00롯데푸드          002270LOTSAM 1005 109081
00한국제지          002300HKP    1007 10    
00아세아제지        002310ASPA   1007 10    
00한진              002320HJT    1019 109060
00넥센타이어        002350NEXEN  1008 10    
00넥센타이어1우B    002355NEXEN5 1008 10    
00SH에너지화학      002360SHEC   1008 10    
00SH에너지화학우    002365SHEC5  1008 10    
00KCC               002380KCC    1008 10    
00한독              002390HANDOK 1009 10    
10범양건영          002410PYCON  1018 10    
00세기상사          002420CCL    1026 10    
00삼익악기          002450SMIC   1001 10    
00화성산업          002460HSI    1018 10    
10벽산건설          002530BECCO  1018 10    
10벽산건설우        002535BECCO5 1018 10    
00LIG손해보험       002550LIGINS 1025 10    
00조흥              002600CH     1005 10    
00제일약품          002620JIP    1009 10    
00오리엔트바이오    002630OBI    1009 10    
00신일산업          002700SIC    1016 10    
00TCC동양           002710TCC    1011 10    
00국제약품          002720KJP    1009 10    
00보락              002760BOLAK  1008 10    
00진흥기업          002780CHI    1018 10    
00진흥기업우B       002785CHI5   1018 10    
00진흥기업2우B      002787CHI6   1018 10    
00아모레G           002790PAC    1026 10    
00아모레G우         002795PAC5   1026 10    
00아모레G2우B       002797PAC6   1026 10    
00삼영무역          002810SYTCO  1016 10    
00선창산업          002820SNWOOD 1007 10    
00미원상사          002840MWC    1008 10    
00신풍제지          002870SIPOP  1007 10    
00대유에이텍        002880DMC    1015 10    
00동양물산          002900TYM    1012 10    
00유성기업          002920YPR    1015 10    
00한국쉘석유        002960HSOC   1008 10    
00금호산업          002990KHIND  1018 109090
00금호산업우        002995KHIND5 1018 109090
00부광약품          003000BKP    1009 10    
00혜인              003010HAEIN  1016 10    
00세아제강          003030SEAH   1011 10    
00슈넬생명과학      003060KSPC   1009 10    
00코오롱글로벌      003070KOLC   1018 109190
00코오롱글로벌우    003075KOLC5  1018 109190
00성보화학          003080SBCC   1008 10    
00대웅              003090DWCL   1026 10    
00일성신약          003120ISP    1009 10    
00디아이            003160DI     1014 10    
00일신방직          003200ILSP   1006 10    
00대원제약          003220DWPH   1009 10    
00삼양식품          003230SYF    1005 10    
00태광산업          003240TK     1008 109271
00흥아해운          003280HASL   1019 10    
00한일시멘트        003300HICMT  1010 10    
00한국화장품제조    003350HKC    1008 10    
00쌍용양회          003410SSYCMT 1010 109121
00쌍용양회우        003415SSYCMT51010 109121
10쌍용양회2우B      003417SSYCMT71010 109121
00쌍용양회3우B      003419SSYCMT91010 109121
00쌍용양회4우B      00341ASSYCMTA1010 109121
00쌍용양회5우B      00341DSSYCMTD1010 109121
00현대증권          003450HDS    1024 109020
00현대증권2우B      003457                  
00유화증권          003460YHS    1024 10    
00유화증권우        003465YHS5   1024 10    
00동양증권          003470TYS    1024 109160
00동양증권1우       003475TYS5   1024 109160
00한진중공업홀딩스  003480HHICHO 1026 109060
00대한항공          003490KAL    1019 109060
00대한항공우        003495KAL5   1019 109060
00영진약품          003520YJP    1009 10    
00한화투자증권      003530HWSC   1024 109100
00한화투자증권우    003535HWSC5  1024 109100
00대신증권          003540DASCO  1024 10    
00대신증권우        003545DASCO5 1024 10    
00대신증권2우B      003547DASCO7 1024 10    
00LG                003550LG     1026 109030
00LG우              003555LG5    1026 109030
00IHQ               003560IHQ    1026 10    
00S&T중공업         003570S&TD   1015 10    
00동원              003580DWON   1001 10    
00SK                003600SK     1026 109040
00SK우              003605SK5    1026 109040
00방림              003610PRC    1006 10    
00쌍용차            003620SSYM   1015 10    
00유니온스틸        003640US     1011 109201
00미창석유          003650MIOC   1008 10    
00한성기업          003680HSE    1005 10    
00코리안리          003690RE     1025 10    
00삼영화학          003720SYCHE  1008 10    
00진양산업          003780CYIC   1008 10    
00대한화섬          003830DHSF   1008 109271
00보령제약          003850BRP    1009 10    
00남양유업          003920NYD    1005 10    
00남양유업우        003925NYD5   1005 10    
00삼양제넥스        003940GENEX  1005 10    
00삼양제넥우        003945GENEX5 1005 10    
00사조대림          003960SJDR   1005 10    
00사조대림우        003965SJDR5  1005 10    
00삼성정밀화학      004000SFC    1008 109011
00현대제철          004020HSCO   1011 109051
00SG세계물산        004060SGWICUS1016 10    
00신흥              004080SH     1016 10    
00한국석유          004090HANSUK 1010 10    
00태양금속          004100TMC    1015 10    
00태양금속우        004105TMC5   1015 10    
00대덕GDS           004130DDGDS  1013 10    
00대덕GDS우         004135DDGDS5 1013 10    
00동방              004140DTLC   1019 10    
00한솔제지          004150HANPA  1007 109131
00신세계            004170SSG    1016 109230
