00동신건설          025950       2081 026010400   
00에머슨퍼시픽      025980       2106 037017400   
00로만손            026040       2077 024008300   
00특수건설          026150       2081 026010400   
00현대정보기술      026180       2156 042015300902
10아이디엔          026260       2153 042015400   
00광진실업          026910       2068 024008400   
00동서              026960       2084 027009202   
00서울전자통신      027040       2072 024008400   
00코리아나          027050       2065 024008300   
00상보              027580       2160 043015300   
00팜스토리          027710       2056 024008300   
00대성창투          027830       2092 031011400   
00파캔OPC           028040       2158 043015400   
00휴맥스홀딩스      028080       2099 033012300   
00GS홈쇼핑          028150       2152 041015202903
00에이치엘비        028300       2072 024008400   
10에이치엘비우      028305       2072 024008 00   
00케이디씨          029480       2157 043015400   
00코엔텍            029960       2107 038012300   
00NICE평가정보      030190       2110 038012300   
00가희              030270       2058 024008400   
00드래곤플라이      030350       2154 042015300   
00한글과컴퓨터      030520       2155 042015200   
00원익IPS           030530       2159 043015200   
00양지사            030960       2063 024008400   
00아이즈비전        031310       2085 027009400   
00에스에이엠티      031330       2084 027009300   
00녹십자셀          031390       2084 027009200   
00오스템            031510       2075 024008400   
00에이모션          031860       2084 027009400   
00피에스케이        031980       2159 043015300   
00C&S자산관리       032040       2100 033012300   
00아즈텍WB          032080       2058 024008400   
00다우데이타        032190       2084 027009300   
00삼일              032280       2087 029009400   
00터보테크          032420       2157 043015400   
00케이엠더블유      032500       2157 043015300   
00TJ미디어          032540       2072 024008400   
00피델릭스          032580       2159 043015410   
00유비케어          032620       2155 042015300   
00비티씨정보        032680       2084 027009400   
00비티씨정보우      032685       2084 027009 00   
00삼진              032750       2072 024008410   
00지아이블루        032790       2158 043015400   
00G러닝             032800       2102 035012400   
00우리기술          032820       2072 024008410   
00비트컴퓨터        032850       2155 042015310   
00자원              032860       2107 038012410   
00원익              032940       2084 027009400   
00동일기연          032960       2160 043015310   
00폴리비전          032980       2065 024008400   
00제이엠아이        033050       2063 024008400   
00제룡전기          033100       2160 043015410   
00이디              033110       2074 024008410   
00디지틀조선        033130       2154 042015300   
00엠케이전자        033160       2159 043015300   
00시그네틱스        033170       2159 043015200   
00모아텍            033200       2160 043015400   
00인성정보          033230       2156 042015410   
00필코전자          033290       2160 043015400   
00디케이디앤아이    033310       2068 024008400   
00제이씨현          033320       2084 027009400   
00좋은사람들        033340       2058 024008400   
00한국자원투자개발  033430       2084 027009400   
00동성화인텍        033500       2065 024008300   
00파라텍            033540       2070 024008400   
00블루콤            033560       2160 043015300   
00이젠텍            033600       2075 024008410   
00SK브로드밴드      033630       2151 041015200922
00네패스            033640       2159 043015200   
00서화정보통신      033790       2157 043015400   
00대구방송          033830       2152 041015400   
00파라다이스        034230       2106 037017202   
00해성산업          034810       2095 032012200   
00한국토지신탁      034830       2092 031011200   
00조아제약          034940       2066 024008300   
00한국기업평가      034950       2100 033012300   
00인터파크          035080       2099 033012200   
00프럼파스트        035200       2065 024008410   
00에듀박스          035290       2063 024008400   
00기산텔레콤        035460       2157 043015410   
00제이비어뮤즈먼트  035480       2157 043015310   
00KG이니시스        035600       2155 042015200   
00솔본              035610       2095 032012300   
00바른손게임즈      035620       2154 042015400   
00다음              035720       2153 042015202   
00CJ오쇼핑          035760       2152 041015202918
00이지바이오        035810       2056 024008300   
00서희건설          035890       2081 026010300   
00JYP Ent.          035900       2106 037017300   
00예림당            036000       2063 024008300   
00아비코전자        036010       2160 043015400   
00KTH               036030       2153 042015200   
00위지트            036090       2070 024008400   
00서울신용평가      036120       2100 033012400   
00씨티엘            036170       2159 043015410   
00영인프런티어      036180       2084 027009400   
00금화피에스시      036190       2082 026010300   
00유니셈            036200       2159 043015410   
10태산엘시디        036210       2160 043015400   
00인포피아          036220       2066 024008310   
00웰메이드          036260       2100 033012400   
00제이콘텐트리      036420       2099 033012210   
00대성미생물        036480       2066 024008400   
00OCI머티리얼즈     036490       2159 043015200   
00유원컴텍          036500       2159 043015300   
00STS반도체         036540       2159 043015200   
00영풍정밀          036560       2070 024008300924
00버추얼텍          036620       2084 027009400   
00온세텔레콤        036630       2151 041015300   
00HRS               036640       2065 024008400   
00KCI               036670       2065 024008410   
00코맥스            036690       2157 043015410   
00심텍              036710       2159 043015200   
00나이스정보통신    036800       2151 041015410   
00에프에스티        036810       2159 043015410   
00솔브레인          036830       2065 024008202   
00진성티이씨        036890       2070 024008300   
00주성엔지니어링    036930       2159 043015300   
00파세코            037070       2072 024008400   
00한국팩키지        037230       2062 024008400   
00인지디스플레      037330       2160 043015300   
00네오아레나        037340       2157 043015410   
00성도이엔지        037350       2099 033012400   
00EG                037370       2065 024008210   
00우리조명지주      037400       2072 024008400   
00희림              037440       2099 033012300   
00삼지전자          037460       2157 043015410   
00쎄니트            037760       2068 024008400   
10엘컴텍            037950       2160 043015400   
00제일테크노스      038010       2068 024008400   
00루멘스            038060       2159 043015200   
00서린바이오        038070       2084 027009410   
00에코플라스틱      038110       2075 024008400   
00마크로젠          038290       2099 033012310   
00쓰리원            038340       2085 027009400   
00레드캡투어        038390       2100 033012300   
00바이오스마트      038460       2158 043015410   
10동양시멘트        038500       2067 024008200   
00코아크로스        038530       2157 043015400   
00텍셀네트컴        038540       2156 042015410   
00위즈정보기술      038620       2085 027009400   
00에스넷            038680       2156 042015400   
00에코에너지        038870       2100 033012410   
10아이에이          038880       2159 043015300   
00파인디지털        038950       2157 043015300   
00현대통신          039010       2157 043015410   
00이건창호          039020       2068 024008400   
00이오테크닉스      039030       2159 043015200   
00오스코텍          039200       2066 024008410   
00솔브레인이엔지    039230       2159 043015400   
00경남스틸          039240       2068 024008400   
00인포뱅크          039290       2151 041015310   
00세중              039310       2100 033012300   
00한국경제TV        039340       2152 041015400   
00케이엘넷          039420       2151 041015400   
00에스티아이        039440       2159 043015400   
00씨앤케이인터      039530       2068 024008200   
00다산네트웍스      039560       2157 043015300   
00화성              039610       2070 024008400   
00스포츠서울        039670       2063 024008400   
00한국정보공학      039740       2084 027009400   
00위노바            039790       2084 027009400   
00오로라            039830       2099 033012410   
00디오              039840       2074 024008300   
00태창파로스        039850       2084 027009400   
00나노엔텍          039860       2074 024008310   
00리노스            039980       2156 042015300   
00누리텔레콤        040160       2155 042015410   
00YTN               040300       2152 041015300   
00큐로컴            040350       2156 042015310   
00정상제이엘에스    040420       2102 035012300   
00SG&G              040610       2087 029009310   
